lead_id,date,platform,vehicle_model,test_drive,sale_completed,sale_value
TLD-1001,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1002,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1003,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1004,2026-01-01,Meta Ads,Yamaha MT-07,True,True,46000
TLD-1005,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1006,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1007,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1008,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1009,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1010,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1011,2026-01-01,Meta Ads,Yamaha MT-07,True,True,46000
TLD-1012,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1013,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1014,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1015,2026-01-01,Meta Ads,Yamaha MT-07,True,True,46000
TLD-1016,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1017,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1018,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1019,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1020,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1021,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1022,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1023,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1024,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1025,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1026,2026-01-01,Meta Ads,Yamaha MT-07,True,True,46000
TLD-1027,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1028,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1029,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1030,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1031,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1032,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1033,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1034,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1035,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1036,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1037,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1038,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1039,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1040,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1041,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1042,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1043,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1044,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1045,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1046,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1047,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1048,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1049,2026-01-01,Meta Ads,Yamaha MT-07,True,True,46000
TLD-1050,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1051,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1052,2026-01-01,Meta Ads,Yamaha MT-07,True,True,46000
TLD-1053,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1054,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1055,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1056,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1057,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1058,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1059,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1060,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1061,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1062,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1063,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1064,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1065,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1066,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1067,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1068,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1069,2026-01-01,Meta Ads,Yamaha MT-07,False,False,0
TLD-1070,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1071,2026-01-01,Meta Ads,Yamaha MT-07,True,False,0
TLD-1072,2026-01-01,Meta Ads,Yamaha NMAX 160,False,False,0
TLD-1073,2026-01-01,Meta Ads,Yamaha NMAX 160,True,False,0
TLD-1074,2026-01-01,Meta Ads,Yamaha NMAX 160,False,False,0
TLD-1075,2026-01-01,Meta Ads,Yamaha NMAX 160,True,False,0
TLD-1076,2026-01-01,Meta Ads,Yamaha NMAX 160,False,False,0
TLD-1077,2026-01-01,Meta Ads,Yamaha NMAX 160,True,True,21000
TLD-1078,2026-01-01,Meta Ads,Yamaha NMAX 160,True,True,21000
TLD-1079,2026-01-01,Meta Ads,Yamaha Crosser 150,False,False,0
TLD-1080,2026-01-01,Meta Ads,Yamaha Crosser 150,True,True,20000
TLD-1081,2026-01-01,Meta Ads,Yamaha Crosser 150,False,False,0
TLD-1082,2026-01-01,Meta Ads,Yamaha Crosser 150,False,False,0
TLD-1083,2026-01-01,Meta Ads,Yamaha Crosser 150,True,False,0
TLD-1084,2026-01-01,Meta Ads,Yamaha Crosser 150,True,False,0
TLD-1085,2026-01-01,Meta Ads,Yamaha Crosser 150,True,True,20000
TLD-1086,2026-01-01,Meta Ads,Yamaha Crosser 150,False,False,0
TLD-1087,2026-01-01,Meta Ads,Yamaha Crosser 150,False,False,0
TLD-1088,2026-01-01,Meta Ads,Yamaha Crosser 150,False,False,0
TLD-1089,2026-01-01,Meta Ads,Yamaha Crosser 150,True,True,20000
TLD-1090,2026-01-01,Meta Ads,Yamaha Crosser 150,True,True,20000
TLD-1091,2026-01-01,Meta Ads,Yamaha Crosser 150,False,False,0
TLD-1092,2026-01-01,Meta Ads,Yamaha Crosser 150,False,False,0
TLD-1093,2026-01-01,Meta Ads,Yamaha Crosser 150,True,False,0
TLD-1094,2026-01-01,Meta Ads,Yamaha Crosser 150,True,False,0
TLD-1095,2026-01-01,Meta Ads,Yamaha Fazer 250,False,False,0
TLD-1096,2026-01-01,Meta Ads,Yamaha Fazer 250,False,False,0
TLD-1097,2026-01-01,Meta Ads,Yamaha Fazer 250,True,False,0
TLD-1098,2026-01-01,Meta Ads,Yamaha Fazer 250,False,False,0
TLD-1099,2026-01-01,Meta Ads,Yamaha Fazer 250,True,True,23000
TLD-1100,2026-01-01,Meta Ads,Yamaha Fazer 250,False,False,0
TLD-1101,2026-01-01,Meta Ads,Yamaha Fazer 250,False,False,0
TLD-1102,2026-01-01,Meta Ads,Yamaha Fazer 250,True,False,0
TLD-1103,2026-01-01,Meta Ads,Yamaha Fazer 250,False,False,0
TLD-1104,2026-01-01,Meta Ads,Yamaha Fazer 250,True,False,0
TLD-1105,2026-01-01,Meta Ads,Yamaha Fazer 250,False,False,0
TLD-1106,2026-01-01,Meta Ads,Yamaha Fazer 250,False,False,0
TLD-1107,2026-01-01,Meta Ads,Yamaha Fazer 250,False,False,0
TLD-1108,2026-01-01,Meta Ads,Yamaha Fazer 250,False,False,0
TLD-1109,2026-01-01,Meta Ads,Yamaha Fazer 250,True,False,0
TLD-1110,2026-01-01,Meta Ads,Yamaha Fazer 250,True,True,23000
TLD-1111,2026-01-01,Meta Ads,Yamaha Fazer 250,True,False,0
TLD-1112,2026-01-01,Google Ads,Yamaha MT-07,True,True,46000
TLD-1113,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1114,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1115,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1116,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1117,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1118,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1119,2026-01-01,Google Ads,Yamaha MT-07,True,False,0
TLD-1120,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1121,2026-01-01,Google Ads,Yamaha MT-07,True,True,46000
TLD-1122,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1123,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1124,2026-01-01,Google Ads,Yamaha MT-07,True,False,0
TLD-1125,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1126,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1127,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1128,2026-01-01,Google Ads,Yamaha MT-07,True,False,0
TLD-1129,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1130,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1131,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1132,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1133,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1134,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1135,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1136,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1137,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1138,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1139,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1140,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1141,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1142,2026-01-01,Google Ads,Yamaha MT-07,True,False,0
TLD-1143,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1144,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1145,2026-01-01,Google Ads,Yamaha MT-07,False,False,0
TLD-1146,2026-01-01,Google Ads,Yamaha MT-07,True,True,46000
TLD-1147,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1148,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1149,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1150,2026-01-01,Google Ads,Yamaha NMAX 160,True,False,0
TLD-1151,2026-01-01,Google Ads,Yamaha NMAX 160,True,True,21000
TLD-1152,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1153,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1154,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1155,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1156,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1157,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1158,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1159,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1160,2026-01-01,Google Ads,Yamaha NMAX 160,True,False,0
TLD-1161,2026-01-01,Google Ads,Yamaha NMAX 160,True,True,21000
TLD-1162,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1163,2026-01-01,Google Ads,Yamaha NMAX 160,True,False,0
TLD-1164,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1165,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1166,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1167,2026-01-01,Google Ads,Yamaha NMAX 160,True,False,0
TLD-1168,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1169,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1170,2026-01-01,Google Ads,Yamaha NMAX 160,False,False,0
TLD-1171,2026-01-01,Google Ads,Yamaha Crosser 150,True,False,0
TLD-1172,2026-01-01,Google Ads,Yamaha Crosser 150,False,False,0
TLD-1173,2026-01-01,Google Ads,Yamaha Crosser 150,False,False,0
TLD-1174,2026-01-01,Google Ads,Yamaha Crosser 150,False,False,0
TLD-1175,2026-01-01,Google Ads,Yamaha Crosser 150,False,False,0
TLD-1176,2026-01-01,Google Ads,Yamaha Crosser 150,True,True,20000
TLD-1177,2026-01-01,Google Ads,Yamaha Crosser 150,False,False,0
TLD-1178,2026-01-01,Google Ads,Yamaha Crosser 150,False,False,0
TLD-1179,2026-01-01,Google Ads,Yamaha Crosser 150,True,False,0
TLD-1180,2026-01-01,Google Ads,Yamaha Crosser 150,True,False,0
TLD-1181,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1182,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1183,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1184,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1185,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1186,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1187,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1188,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1189,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1190,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1191,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1192,2026-01-01,Google Ads,Yamaha Fazer 250,True,False,0
TLD-1193,2026-01-01,Google Ads,Yamaha Fazer 250,True,False,0
TLD-1194,2026-01-01,Google Ads,Yamaha Fazer 250,True,False,0
TLD-1195,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1196,2026-01-01,Google Ads,Yamaha Fazer 250,True,False,0
TLD-1197,2026-01-01,Google Ads,Yamaha Fazer 250,True,True,23000
TLD-1198,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1199,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1200,2026-01-01,Google Ads,Yamaha Fazer 250,True,False,0
TLD-1201,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1202,2026-01-01,Google Ads,Yamaha Fazer 250,True,False,0
TLD-1203,2026-01-01,Google Ads,Yamaha Fazer 250,True,True,23000
TLD-1204,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1205,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1206,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1207,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1208,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1209,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
TLD-1210,2026-01-01,Google Ads,Yamaha Fazer 250,True,False,0
TLD-1211,2026-01-01,Google Ads,Yamaha Fazer 250,True,False,0
TLD-1212,2026-01-01,Google Ads,Yamaha Fazer 250,True,True,23000
TLD-1213,2026-01-01,Google Ads,Yamaha Fazer 250,False,False,0
