date,platform,vehicle_model,impressions,clicks,cost_brl,leads
2026-01-01,Meta Ads,Yamaha MT-07,8270,560,1010.99,71
2026-01-01,Meta Ads,Yamaha NMAX 160,6977,150,233.41,7
2026-01-01,Meta Ads,Yamaha Crosser 150,3693,175,336.15,16
2026-01-01,Meta Ads,Yamaha Fazer 250,8554,325,695.49,17
2026-01-01,Google Ads,Yamaha MT-07,8098,268,950.54,35
2026-01-01,Google Ads,Yamaha NMAX 160,5493,217,794.96,24
2026-01-01,Google Ads,Yamaha Crosser 150,6088,149,329.11,10
2026-01-01,Google Ads,Yamaha Fazer 250,8560,531,1267.14,42
2026-01-02,Meta Ads,Yamaha MT-07,1580,89,230.04,6
2026-01-02,Meta Ads,Yamaha NMAX 160,7617,377,1041.45,25
2026-01-02,Meta Ads,Yamaha Crosser 150,9967,429,1479.76,36
2026-01-02,Meta Ads,Yamaha Fazer 250,5729,266,1098.43,22
2026-01-02,Google Ads,Yamaha MT-07,7619,503,1969.35,62
2026-01-02,Google Ads,Yamaha NMAX 160,1770,90,361.1,9
2026-01-02,Google Ads,Yamaha Crosser 150,7241,421,1276.01,24
2026-01-02,Google Ads,Yamaha Fazer 250,7777,259,1013.18,21
2026-01-03,Meta Ads,Yamaha MT-07,1918,97,286.73,5
2026-01-03,Meta Ads,Yamaha NMAX 160,7229,286,456.23,39
2026-01-03,Meta Ads,Yamaha Crosser 150,5234,397,896.47,43
2026-01-03,Meta Ads,Yamaha Fazer 250,8667,586,1902.3,60
2026-01-03,Google Ads,Yamaha MT-07,7320,489,1034.74,35
2026-01-03,Google Ads,Yamaha NMAX 160,8218,486,965.2,29
2026-01-03,Google Ads,Yamaha Crosser 150,9428,416,798.5,47
2026-01-03,Google Ads,Yamaha Fazer 250,5197,287,686.28,16
2026-01-04,Meta Ads,Yamaha MT-07,1390,30,105.04,2
2026-01-04,Meta Ads,Yamaha NMAX 160,2500,121,489.41,16
2026-01-04,Meta Ads,Yamaha Crosser 150,4810,116,142.83,6
2026-01-04,Meta Ads,Yamaha Fazer 250,4760,126,298.65,9
2026-01-04,Google Ads,Yamaha MT-07,8486,650,1782.58,72
2026-01-04,Google Ads,Yamaha NMAX 160,6084,409,725.32,51
2026-01-04,Google Ads,Yamaha Crosser 150,8099,193,602.26,14
2026-01-04,Google Ads,Yamaha Fazer 250,3720,199,245.22,16
2026-01-05,Meta Ads,Yamaha MT-07,9442,463,1565.27,48
2026-01-05,Meta Ads,Yamaha NMAX 160,5648,196,798.4,18
2026-01-05,Meta Ads,Yamaha Crosser 150,4568,284,759.14,38
2026-01-05,Meta Ads,Yamaha Fazer 250,9125,542,2437.95,29
2026-01-05,Google Ads,Yamaha MT-07,3863,273,1151.24,35
